(3676, 562)
(3676, 562)
(2947, 562)
Number of label: 6
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B'] -> B =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F'] -> D =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
